List of all the Forecast Locations by Program / Liste de tous les emplacements de prévisions par programme,,,,,,
CODE,NAME,NOM,PROGRAMS,PROGRAMMES,PROVINCE/WATERBODY 2 PROVINCE/PLAN D'EAU 2,PROVINCE/WATERBODY MOD. PROVINCE/PLAN D'EAU MOD.
001213,Queen Charlotte Sound - SW,bassin Reine-Charlotte - S-O,Services,Services,"BC,PC","BC,PC"
001213-001214,Queen Charlotte Sound - western half,bassin Reine-Charlotte - moitié ouest,Marine,Marine,"BC,PC","BC,PC"
001214,Queen Charlotte Sound - NW,bassin Reine-Charlotte - N-O,Services,Services,"BC,PC","BC,PC"
001220,Central Coast from McInnes Island to Pine Island,côte centrale de l'île McInnes à l'Île Pine,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001220,Central Coast from McInnes Island to Pine Island,côte centrale de l'île McInnes à l'Île Pine,Marine,Marine,"BC,PC","BC,PC"
001230,Douglas Channel,chenal marin de Douglas,Marine,Marine,"BC,PC","BC,PC"
001230,Douglas Channel,chenal marin de Douglas,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001240,Hecate Strait,détroit d'Hécate,Marine,Marine,"BC,PC","BC,PC"
001240,Hecate Strait,détroit d'Hécate,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001241,Hecate Strait - northern half,détroit d'Hécate - moitié nord,Marine,Marine,"BC,PC","BC,PC"
001242,Hecate Strait - southern half,détroit d'Hécate - moitié sud,Marine,Marine,"BC,PC","BC,PC"
001250,Dixon Entrance East,entrée Dixon Est,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001250,Dixon Entrance East,entrée Dixon Est,Marine,Marine,"BC,PC","BC,PC"
001260,Dixon Entrance West,entrée Dixon Ouest,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001260,Dixon Entrance West,entrée Dixon Ouest,Marine,Marine,"BC,PC","BC,PC"
001261,Dixon Entrance West - east of Langara,entrée Dixon Ouest - à l'est de Langara,Marine,Marine,"BC,PC","BC,PC"
001262,Dixon Entrance West - west of Langara,entrée Dixon Ouest - à l'ouest de Langara,Marine,Marine,"BC,PC","BC,PC"
001270,West Coast Haida Gwaii,côte ouest de Haida Gwaii,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001270,West Coast Haida Gwaii,côte ouest de Haida Gwaii,Marine,Marine,"BC,PC","BC,PC"
001271,West Coast Haida Gwaii - northern half,côte ouest de Haida Gwaii - moitié nord,Marine,Marine,"BC,PC","BC,PC"
001272,West Coast Haida Gwaii - southern half,côte ouest de Haida Gwaii - moitié sud,Marine,Marine,"BC,PC","BC,PC"
001280,North Coast Channels,chenaux de la côte nord,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001310,Bowie,Bowie,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001310,Bowie,Bowie,Marine,Marine,"BC,PC","BC,PC"
001311,Bowie - northern half,Bowie - moitié nord,Marine,Marine,"BC,PC","BC,PC"
001312,Bowie - southern half,Bowie - moitié sud,Marine,Marine,"BC,PC","BC,PC"
001320,Explorer,Explorer,Marine,Marine,"BC,PC","BC,PC"
001320,Explorer,Explorer,CAP-CP,PC-PAC,"BC,PC","BC,PC"
001321,Explorer - northwestern half,Explorer - moitié nord-ouest,Marine,Marine,"BC,PC","BC,PC"
001322,Explorer - southeastern half,Explorer - moitié sud-est,Marine,Marine,"BC,PC","BC,PC"
002100,Lake Michigan,lac Michigan,Ice,Glaces,"ON,GL","ON,GL"
002120,Lake Michigan,lac Michigan,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002121,Northern Lake Michigan,lac Michigan Nord,Ice,Glaces,GL,GL
002122,Southern Lake Michigan,lac Michigan Sud,Ice,Glaces,GL,GL
002123,Green Bay,baie Green,Ice,Glaces,GL,GL
002200,Lake Erie,lac Érié,Ice,Glaces,"ON,GL","ON,GL"
002210,Lake Erie,lac Érié,Marine,Marine,"ON,GL","ON,GL"
002210,Lake Erie,lac Érié,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002211,Eastern Lake Erie,lac Érié Est,Marine,Marine,"ON,GL","ON,GL"
002211,Eastern Lake Erie,lac Érié Est,Hurricane,Ouragans,"ON,GL","ON,GL"
002211-002221,Eastern Lake Erie,lac Érié Est,Ice,Glaces,"ON,GL","ON,GL"
002212,Western Lake Erie,lac Érié Ouest,Marine,Marine,"ON,GL","ON,GL"
002212,Western Lake Erie,lac Érié Ouest,Hurricane,Ouragans,"ON,GL","ON,GL"
002212-002222,Western Lake Erie,lac Érié Ouest,Ice,Glaces,"ON,GL","ON,GL"
002220,Lake Erie,lac Érié,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002221,Eastern Lake Erie,lac Érié Est,Services,Services,"ON,GL","ON,GL"
002222,Western Lake Erie,lac Érié Ouest,Services,Services,"ON,GL","ON,GL"
002300,Lake St. Clair,lac Sainte-Claire,Ice,Glaces,"ON,GL","ON,GL"
002310,Lake St. Clair,lac Sainte-Claire,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002310,Lake St. Clair,lac Sainte-Claire,Marine,Marine,"ON,GL","ON,GL"
002310,Lake St. Clair,lac Sainte-Claire,Hurricane,Ouragans,"ON,GL","ON,GL"
002320,Lake St. Clair,lac Sainte-Claire,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002400,Lake Huron,lac Huron,Ice,Glaces,"ON,GL","ON,GL"
002410,Lake Huron,lac Huron,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002410,Lake Huron,lac Huron,Marine,Marine,"ON,GL","ON,GL"
002411,Northern Lake Huron,lac Huron Nord,Marine,Marine,"ON,GL","ON,GL"
002411,Northern Lake Huron,lac Huron Nord,Hurricane,Ouragans,"ON,GL","ON,GL"
002411-002421,Northern Lake Huron,lac Huron Nord,Ice,Glaces,"ON,GL","ON,GL"
002412,Southern Lake Huron,lac Huron Sud,Marine,Marine,"ON,GL","ON,GL"
002412,Southern Lake Huron,lac Huron Sud,Hurricane,Ouragans,"ON,GL","ON,GL"
002412-002422,Southern Lake Huron,lac Huron Sud,Ice,Glaces,"ON,GL","ON,GL"
002420,Lake Huron,lac Huron,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002421,Northern Lake Huron,lac Huron Nord,Services,Services,"ON,GL","ON,GL"
002422,Southern Lake Huron,lac Huron Sud,Services,Services,"ON,GL","ON,GL"
002500,Georgian Bay,baie Georgienne,Ice,Glaces,"ON,GL","ON,GL"
002510,Georgian Bay,baie Georgienne,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002510,Georgian Bay,baie Georgienne,Marine,Marine,"ON,GL","ON,GL"
002511,Northern Georgian Bay,baie Georgienne Nord,Marine,Marine,"ON,GL","ON,GL"
002511,Northern Georgian Bay,baie Georgienne Nord,Ice,Glaces,"ON,GL","ON,GL"
002511,Northern Georgian Bay,baie Georgienne Nord,Hurricane,Ouragans,"ON,GL","ON,GL"
002512,Southern Georgian Bay,baie Georgienne Sud,Ice,Glaces,"ON,GL","ON,GL"
002512,Southern Georgian Bay,baie Georgienne Sud,Marine,Marine,"ON,GL","ON,GL"
002512,Southern Georgian Bay,baie Georgienne Sud,Hurricane,Ouragans,"ON,GL","ON,GL"
002600,North Channel,chenal du Nord,Ice,Glaces,"ON,GL","ON,GL"
002610,North Channel,chenal du Nord,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002610,North Channel,chenal du Nord,Marine,Marine,"ON,GL","ON,GL"
002610,North Channel,chenal du Nord,Hurricane,Ouragans,"ON,GL","ON,GL"
002620,North Channel,chenal du Nord,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002700,Whitefish Bay,baie Whitefish,Ice,Glaces,"ON,GL","ON,GL"
002710,Whitefish Bay,baie Whitefish,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002710,Whitefish Bay,baie Whitefish,Marine,Marine,"ON,GL","ON,GL"
002710,Whitefish Bay,baie Whitefish,Hurricane,Ouragans,"ON,GL","ON,GL"
002720,Whitefish Bay,baie Whitefish,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002800,Lake Superior,lac Supérieur,Ice,Glaces,"ON,GL","ON,GL"
002810,Lake Superior,lac Supérieur,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002810,Lake Superior,lac Supérieur,Marine,Marine,"ON,GL","ON,GL"
002811,Eastern Lake Superior,lac Supérieur Est,Marine,Marine,"ON,GL","ON,GL"
002811,Eastern Lake Superior,lac Supérieur Est,Hurricane,Ouragans,"ON,GL","ON,GL"
002811-002821,Eastern Lake Superior,lac Supérieur Est,Ice,Glaces,"ON,GL","ON,GL"
002812,Western Lake Superior,lac Supérieur Ouest,Marine,Marine,"ON,GL","ON,GL"
002812,Western Lake Superior,lac Supérieur Ouest,Hurricane,Ouragans,"ON,GL","ON,GL"
002812-002822,Western Lake Superior,lac Supérieur Ouest,Ice,Glaces,"ON,GL","ON,GL"
002820,Lake Superior,lac Supérieur,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002821,Eastern Lake Superior,lac Supérieur Est,Services,Services,GL,GL
002822,Western Lake Superior,lac Supérieur Ouest,Services,Services,"ON,GL","ON,GL"
002900,Lake Ontario,lac Ontario,Ice,Glaces,"ON,GL","ON,GL"
002910,Lake Ontario,lac Ontario,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002910,Lake Ontario,lac Ontario,Marine,Marine,"ON,GL","ON,GL"
002911,Eastern Lake Ontario,lac Ontario Est,Marine,Marine,"ON,GL","ON,GL"
002911,Eastern Lake Ontario,lac Ontario Est,Hurricane,Ouragans,"ON,GL","ON,GL"
002911-002921,Eastern Lake Ontario,lac Ontario Est,Ice,Glaces,"ON,GL","ON,GL"
002912,Western Lake Ontario,lac Ontario Ouest,Marine,Marine,"ON,GL","ON,GL"
002912,Western Lake Ontario,lac Ontario Ouest,Hurricane,Ouragans,"ON,GL","ON,GL"
002912-002922,Western Lake Ontario,lac Ontario Ouest,Ice,Glaces,"ON,GL","ON,GL"
002920,Lake Ontario,lac Ontario,CAP-CP,PC-PAC,"ON,GL","ON,GL"
002921,Eastern Lake Ontario,lac Ontario Est,Services,Services,GL,GL
002922,Western Lake Ontario,lac Ontario Ouest,Services,Services,"ON,GL","ON,GL"
003110,Tadoussac to Pointe-des-Monts,Tadoussac à Pointe-des-Monts,CAP-CP,PC-PAC,"QC,AT","QC,AT"
003111,Pointe à Michel to Pointe-des-Monts,Pointe à Michel à Pointe-des-Monts,Ice,Glaces,"QC,AT","QC,AT"
003111,Pointe à Michel to Pointe-des-Monts,Pointe à Michel à Pointe-des-Monts,Marine,Marine,"QC,AT","QC,AT"
003111,Pointe à Michel to Pointe-des-Monts,Pointe à Michel à Pointe-des-Monts,Hurricane,Ouragans,"QC,AT","QC,AT"
003112,Tadoussac to Pointe à Michel,Tadoussac à Pointe à Michel,Ice,Glaces,"QC,AT","QC,AT"
003112,Tadoussac to Pointe à Michel,Tadoussac à Pointe à Michel,Marine,Marine,"QC,AT","QC,AT"
003112,Tadoussac to Pointe à Michel,Tadoussac à Pointe à Michel,Hurricane,Ouragans,"QC,AT","QC,AT"
003120,Pointe-des-Monts to Anticosti,Pointe-des-Monts à Anticosti,CAP-CP,PC-PAC,"QC,AT","QC,AT"
003121,Pointe-des-Monts to Anticosti - northern half,Pointe-des-Monts à Anticosti - moitié nord,Marine,Marine,"QC,AT","QC,AT"
003121,Pointe-des-Monts to Anticosti - northern half,Pointe-des-Monts à Anticosti - moitié nord,Ice,Glaces,"QC,AT","QC,AT"
003121,Pointe-des-Monts to Anticosti - northern half,Pointe-des-Monts à Anticosti - moitié nord,Hurricane,Ouragans,"QC,AT","QC,AT"
003122,Pointe-des-Monts to Anticosti - southern half,Pointe-des-Monts à Anticosti - moitié sud,Marine,Marine,"QC,AT","QC,AT"
003122,Pointe-des-Monts to Anticosti - southern half,Pointe-des-Monts à Anticosti - moitié sud,Ice,Glaces,"QC,AT","QC,AT"
003122,Pointe-des-Monts to Anticosti - southern half,Pointe-des-Monts à Anticosti - moitié sud,Hurricane,Ouragans,"QC,AT","QC,AT"
003140,Anticosti,Anticosti,CAP-CP,PC-PAC,"QC,AT","QC,AT"
003140,Anticosti,Anticosti,Ice,Glaces,"QC,AT","QC,AT"
003140,Anticosti,Anticosti,Marine,Marine,"QC,AT","QC,AT"
003140,Anticosti,Anticosti,Hurricane,Ouragans,"QC,AT","QC,AT"
003141,Anticosti - NNE,Anticosti - N-N-E,Services,Services,"QC,AT","QC,AT"
003141-003142-003143-003144,Anticosti - eastern half,Anticosti - moitié est,Ice,Glaces,"QC,AT","QC,AT"
003141-003142-003143-003144,Anticosti - eastern half,Anticosti - moitié est,Marine,Marine,"QC,AT","QC,AT"
003141-003142-003143-003148,Anticosti - northeastern half,Anticosti - moitié nord-est,Ice,Glaces,"QC,AT","QC,AT"
003141-003142-003143-003148,Anticosti - northeastern half,Anticosti - moitié nord-est,Marine,Marine,"QC,AT","QC,AT"
003141-003142-003147-003148,Anticosti - northern half,Anticosti - moitié nord,Marine,Marine,"QC,AT","QC,AT"
003141-003142-003147-003148,Anticosti - northern half,Anticosti - moitié nord,Ice,Glaces,"QC,AT","QC,AT"
003141-003146-003147-003148,Anticosti - northwestern half,Anticosti - moitié nord-ouest,Ice,Glaces,"QC,AT","QC,AT"
003141-003146-003147-003148,Anticosti - northwestern half,Anticosti - moitié nord-ouest,Marine,Marine,"QC,AT","QC,AT"
003142,Anticosti - ENE,Anticosti - E-N-E,Services,Services,"QC,AT","QC,AT"
003142-003143-003144-003145,Anticosti - southeastern half,Anticosti - moitié sud-est,Ice,Glaces,"QC,AT","QC,AT"
003142-003143-003144-003145,Anticosti - southeastern half,Anticosti - moitié sud-est,Marine,Marine,"QC,AT","QC,AT"
003143,Anticosti - ESE,Anticosti - E-S-E,Services,Services,"QC,AT","QC,AT"
003143-003144-003145-003146,Anticosti - southern half,Anticosti - moitié sud,Marine,Marine,"QC,AT","QC,AT"
003143-003144-003145-003146,Anticosti - southern half,Anticosti - moitié sud,Ice,Glaces,"QC,AT","QC,AT"
003144,Anticosti - SSE,Anticosti - S-S-E,Services,Services,"QC,AT","QC,AT"
003144-003145-003146-003147,Anticosti - southwestern half,Anticosti - moitié sud-ouest,Ice,Glaces,"QC,AT","QC,AT"
003144-003145-003146-003147,Anticosti - southwestern half,Anticosti - moitié sud-ouest,Marine,Marine,"QC,AT","QC,AT"
003145,Anticosti - SSW,Anticosti - S-S-O,Services,Services,"QC,AT","QC,AT"
003145-003146-003147-003148,Anticosti - western half,Anticosti - moitié ouest,Ice,Glaces,"QC,AT","QC,AT"
003145-003146-003147-003148,Anticosti - western half,Anticosti - moitié ouest,Marine,Marine,"QC,AT","QC,AT"
003146,Anticosti - WSW,Anticosti - O-S-O,Services,Services,"QC,AT","QC,AT"
003147,Anticosti - WNW,Anticosti - O-N-O,Services,Services,"QC,AT","QC,AT"
003148,Anticosti - NNW,Anticosti - N-N-O,Services,Services,"QC,AT","QC,AT"
003150,Chaleur - Miscou,Chaleurs - Miscou,Marine,Marine,"NB,PE,QC,AT","NB,PE,QC,AT"
003150,Chaleur - Miscou,Chaleurs - Miscou,CAP-CP,PC-PAC,"NB,PE,QC,AT","NB,PE,QC,AT"
003150,Chaleur - Miscou,Chaleurs - Miscou,Ice,Glaces,"NB,PE,QC,AT","NB,PE,QC,AT"
003150,Chaleur - Miscou,Chaleurs - Miscou,Hurricane,Ouragans,"NB,PE,QC,AT","NB,PE,QC,AT"
003151,Chaleur - Miscou - eastern half,Chaleurs - Miscou - moitié est,Ice,Glaces,"NB,PE,QC,AT","NB,PE,QC,AT"
003151,Chaleur - Miscou - eastern half,Chaleurs - Miscou - moitié est,Marine,Marine,"NB,PE,QC,AT","NB,PE,QC,AT"
003151,Chaleur - Miscou - eastern half,Chaleurs - Miscou - moitié est,Hurricane,Ouragans,"NB,PE,QC,AT","NB,PE,QC,AT"
003152,Chaleur - Miscou - western half,Chaleurs - Miscou - moitié ouest,Marine,Marine,"NB,QC,AT","NB,QC,AT"
003152,Chaleur - Miscou - western half,Chaleurs - Miscou - moitié ouest,Ice,Glaces,"NB,QC,AT","NB,QC,AT"
003152,Chaleur - Miscou - western half,Chaleurs - Miscou - moitié ouest,Hurricane,Ouragans,"NB,QC,AT","NB,QC,AT"
003160,Gulf - Magdalen,Golfe - Madeleine,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003160,Gulf - Magdalen,Golfe - Madeleine,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003160,Gulf - Magdalen,Golfe - Madeleine,CAP-CP,PC-PAC,"NS,PE,QC,AT","NS,PE,QC,AT"
003160,Gulf - Magdalen,Golfe - Madeleine,Hurricane,Ouragans,"NS,PE,QC,AT","NS,PE,QC,AT"
003161,Gulf - Magdalen - NNE,Golfe - Madeleine - N-N-E,Services,Services,"QC,AT","QC,AT"
003161-003162-003163-003164,Gulf - Magdalen - eastern half,Golfe - Madeleine - moitié est,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003161-003162-003163-003164,Gulf - Magdalen - eastern half,Golfe - Madeleine - moitié est,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003161-003162-003163-003168,Gulf - Magdalen - northeastern half,Golfe - Madeleine - moitié nord-est,Marine,Marine,"NS,QC,AT","NS,QC,AT"
003161-003162-003163-003168,Gulf - Magdalen - northeastern half,Golfe - Madeleine - moitié nord-est,Ice,Glaces,"NS,QC,AT","NS,QC,AT"
003161-003162-003167-003168,Gulf - Magdalen - northern half,Golfe - Madeleine - moitié nord,Marine,Marine,"QC,AT","QC,AT"
003161-003162-003167-003168,Gulf - Magdalen - northern half,Golfe - Madeleine - moitié nord,Ice,Glaces,"QC,AT","QC,AT"
003161-003166-003167-003168,Gulf - Magdalen - northwestern half,Golfe - Madeleine - moitié nord-ouest,Marine,Marine,"PE,QC,AT","PE,QC,AT"
003161-003166-003167-003168,Gulf - Magdalen - northwestern half,Golfe - Madeleine - moitié nord-ouest,Ice,Glaces,"PE,QC,AT","PE,QC,AT"
003162,Gulf - Magdalen - ENE,Golfe - Madeleine - E-N-E,Services,Services,"QC,AT","QC,AT"
003162-003163-003164-003165,Gulf - Magdalen - southeastern half,Golfe - Madeleine - moitié sud-est,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003162-003163-003164-003165,Gulf - Magdalen - southeastern half,Golfe - Madeleine - moitié sud-est,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003163,Gulf - Magdalen - ESE,Golfe - Madeleine - E-S-E,Services,Services,"NS,QC,AT","NS,QC,AT"
003163-003164-003165-003166,Gulf - Magdalen - southern half,Golfe - Madeleine - moitié sud,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003163-003164-003165-003166,Gulf - Magdalen - southern half,Golfe - Madeleine - moitié sud,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003164,Gulf - Magdalen - SSE,Golfe - Madeleine - S-S-E,Services,Services,"NS,PE,QC,AT","NS,PE,QC,AT"
003164-003165-003166-003167,Gulf - Magdalen - southwestern half,Golfe - Madeleine - moitié sud-ouest,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003164-003165-003166-003167,Gulf - Magdalen - southwestern half,Golfe - Madeleine - moitié sud-ouest,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003165,Gulf - Magdalen - SSW,Golfe - Madeleine - S-S-O,Services,Services,"PE,QC,AT","PE,QC,AT"
003165-003166-003167-003168,Gulf - Magdalen - western half,Golfe - Madeleine - moitié ouest,Ice,Glaces,"NS,PE,QC,AT","NS,PE,QC,AT"
003165-003166-003167-003168,Gulf - Magdalen - western half,Golfe - Madeleine - moitié ouest,Marine,Marine,"NS,PE,QC,AT","NS,PE,QC,AT"
003166,Gulf - Magdalen - WSW,Golfe - Madeleine - O-S-O,Services,Services,"PE,QC,AT","PE,QC,AT"
003167,Gulf - Magdalen - WNW,Golfe - Madeleine - O-N-O,Services,Services,"QC,AT","QC,AT"
003168,Gulf - Magdalen - NNW,Golfe - Madeleine - N-N-O,Services,Services,"QC,AT","QC,AT"
003170,Northumberland Strait,détroit de Northumberland,Marine,Marine,"NB,NS,PE,AT","NB,NS,PE,AT"
003170,Northumberland Strait,détroit de Northumberland,Ice,Glaces,"NB,NS,PE,AT","NB,NS,PE,AT"
003170,Northumberland Strait,détroit de Northumberland,CAP-CP,PC-PAC,"NB,NS,PE,AT","NB,NS,PE,AT"
003170,Northumberland Strait,détroit de Northumberland,Hurricane,Ouragans,"NB,NS,PE,AT","NB,NS,PE,AT"
003171,Northumberland Strait - eastern half,détroit de Northumberland - moitié est,Marine,Marine,"NS,PE,AT","NS,PE,AT"
003171,Northumberland Strait - eastern half,détroit de Northumberland - moitié est,Ice,Glaces,"NS,PE,AT","NS,PE,AT"
003171,Northumberland Strait - eastern half,détroit de Northumberland - moitié est,Hurricane,Ouragans,"NS,PE,AT","NS,PE,AT"
003172,Northumberland Strait - western half,détroit de Northumberland - moitié ouest,Ice,Glaces,"NB,NS,PE,AT","NB,NS,PE,AT"
003172,Northumberland Strait - western half,détroit de Northumberland - moitié ouest,Marine,Marine,"NB,NS,PE,AT","NB,NS,PE,AT"
003172,Northumberland Strait - western half,détroit de Northumberland - moitié ouest,Hurricane,Ouragans,"NB,NS,PE,AT","NB,NS,PE,AT"
003210,Fundy,Fundy,CAP-CP,PC-PAC,"NB,NS,AT","NB,NS,AT"
003210,Fundy,Fundy,Ice,Glaces,"NB,NS,AT","NB,NS,AT"
003210,Fundy,Fundy,Marine,Marine,"NB,NS,AT","NB,NS,AT"
003210,Fundy,Fundy,Hurricane,Ouragans,"NB,NS,AT","NB,NS,AT"
003220,Grand Manan,Grand Manan,CAP-CP,PC-PAC,"NB,NS,AT","NB,NS,AT"
003220,Grand Manan,Grand Manan,Ice,Glaces,"NB,NS,AT","NB,NS,AT"
003220,Grand Manan,Grand Manan,Marine,Marine,"NB,NS,AT","NB,NS,AT"
003220,Grand Manan,Grand Manan,Hurricane,Ouragans,"NB,NS,AT","NB,NS,AT"
003230,Lurcher,Lurcher,Ice,Glaces,"NS,AT","NS,AT"
003230,Lurcher,Lurcher,Marine,Marine,"NS,AT","NS,AT"
003230,Lurcher,Lurcher,CAP-CP,PC-PAC,"NS,AT","NS,AT"
003230,Lurcher,Lurcher,Hurricane,Ouragans,"NS,AT","NS,AT"
003231,Lurcher - eastern half,Lurcher - moitié est,Marine,Marine,"NS,AT","NS,AT"
003231,Lurcher - eastern half,Lurcher - moitié est,Ice,Glaces,"NS,AT","NS,AT"
003231,Lurcher - eastern half,Lurcher - moitié est,Hurricane,Ouragans,"NS,AT","NS,AT"
003232,Lurcher - western half,Lurcher - moitié ouest,Ice,Glaces,AT,AT
003232,Lurcher - western half,Lurcher - moitié ouest,Marine,Marine,AT,AT
003232,Lurcher - western half,Lurcher - moitié ouest,Hurricane,Ouragans,AT,AT
003240,Browns Bank,banc Browns,CAP-CP,PC-PAC,AT,AT
003240,Browns Bank,banc Browns,Ice,Glaces,AT,AT
003240,Browns Bank,banc Browns,Marine,Marine,AT,AT
003240,Browns Bank,banc Browns,Hurricane,Ouragans,AT,AT
003241,Browns Bank - eastern half,banc Browns - moitié est,Ice,Glaces,AT,AT
003241,Browns Bank - eastern half,banc Browns - moitié est,Marine,Marine,AT,AT
003241,Browns Bank - eastern half,banc Browns - moitié est,Hurricane,Ouragans,AT,AT
003242,Browns Bank - western half,banc Browns - moitié ouest,Marine,Marine,AT,AT
003242,Browns Bank - western half,banc Browns - moitié ouest,Ice,Glaces,AT,AT
003242,Browns Bank - western half,banc Browns - moitié ouest,Hurricane,Ouragans,AT,AT
003250,Georges Bank,banc Georges,Marine,Marine,AT,AT
003250,Georges Bank,banc Georges,Ice,Glaces,AT,AT
003250,Georges Bank,banc Georges,CAP-CP,PC-PAC,AT,AT
003250,Georges Bank,banc Georges,Hurricane,Ouragans,AT,AT
003251,Georges Bank - northern half,banc Georges - moitié nord,Ice,Glaces,AT,AT
003251,Georges Bank - northern half,banc Georges - moitié nord,Marine,Marine,AT,AT
003251,Georges Bank - northern half,banc Georges - moitié nord,Hurricane,Ouragans,AT,AT
003252,Georges Bank - southern half,banc Georges - moitié sud,Ice,Glaces,AT,AT
003252,Georges Bank - southern half,banc Georges - moitié sud,Marine,Marine,AT,AT
003252,Georges Bank - southern half,banc Georges - moitié sud,Hurricane,Ouragans,AT,AT
